product_id,category,risk_class,primary_risk_driver,scenario,contingency_severity,action_priority,executive_action_score,action_type,action_owner,action_horizon,executive_action,scenario_response,additional_safety_stock_required,lost_sales_exposure,cost_change_vs_optimized,executive_confidence,executive_rationale
P01600,Accessories,Low,Demand Volatility,Combined Stress,Critical,P1 - Immediate,0.6115,Demand contingency,Demand Planning,0-7 days,Activate demand contingency and increase safety stock by approximately 604 units.,Activate demand contingency,604,1649.0,8074.4,Medium,"P1 - Immediate exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 1,649 units with modeled fill-rate deterioration of 3.10%. Approximately 604 additional units of safety stock are indicated."
P00420,Office Supplies,Low,Supplier,Combined Stress,Critical,P1 - Immediate,0.6084,Supplier contingency,Procurement,0-7 days,"Activate supplier contingency, secure alternate supply, and increase inventory buffer by approximately 602 units.",Activate supplier contingency,602,1689.0,8011.19,Medium,"P1 - Immediate exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,689 units with modeled fill-rate deterioration of 3.10%. Approximately 602 additional units of safety stock are indicated."
P00842,Office Supplies,Low,Supplier,Combined Stress,Critical,P1 - Immediate,0.5855,Supplier contingency,Procurement,0-7 days,"Activate supplier contingency, secure alternate supply, and increase inventory buffer by approximately 772 units.",Activate supplier contingency,772,1382.0,9906.44,Medium,"P1 - Immediate exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,382 units with modeled fill-rate deterioration of 3.10%. Approximately 772 additional units of safety stock are indicated."
P00992,Office Supplies,High,Demand Volatility,Combined Stress,High,P2 - High,0.7454,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,123 units.",Prepare demand response,1123,410.0,2761.72,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 410 units. Recommended contingency buffer is 1,123 units."
P01273,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.7034,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,340 units.",Prepare demand response,1340,0.0,1795.65,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,340 units."
P01633,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.692,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,011 units.",Prepare demand response,1011,0.0,1416.3,Medium,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 0 units. Recommended contingency buffer is 1,011 units."
P01903,Office Supplies,Low,Demand Volatility,Combined Stress,High,P2 - High,0.6704,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 511 units.,Prepare demand response,511,427.0,5479.59,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 427 units. Recommended contingency buffer is 511 units.
P00572,Office Supplies,Low,Supplier,Combined Stress,High,P2 - High,0.6661,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 689 units.,Prepare alternate supplier,689,1017.0,8642.07,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 1,017 units. Recommended contingency buffer is 689 units."
P00338,Office Supplies,Low,Supplier,Combined Stress,High,P2 - High,0.6633,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 636 units.,Prepare alternate supplier,636,636.0,5697.08,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 636 units. Recommended contingency buffer is 636 units.
P01591,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.6504,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,983,36.0,1350.84,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹34,846.43, with lost-sales change of 3,409 units."
P01943,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.6393,Demand risk mitigation,Demand Planning,7-30 days,"Prepare demand contingency and increase safety stock by approximately 1,277 units.",Prepare demand response,1277,47.0,1354.73,High,"P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 47 units. Recommended contingency buffer is 1,277 units."
P01443,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.6335,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,935,205.0,2178.29,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹28,166.88, with lost-sales change of 2,924 units."
P01164,Office Supplies,High,Demand Volatility,Combined Stress,Moderate,P2 - High,0.6204,Inventory policy action,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,901,0.0,1265.6,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹29,283.05, with lost-sales change of 2,982 units."
P00463,Office Supplies,Critical,Demand Volatility,Combined Stress,High,P2 - High,0.6154,Demand risk mitigation,Demand Planning,7-30 days,Prepare demand contingency and increase safety stock by approximately 935 units.,Prepare demand response,935,54.0,1256.54,High,P2 - High scenario exposure under Combined Stress. Primary driver: Demand Volatility. Potential lost-sales exposure is 54 units. Recommended contingency buffer is 935 units.
P01987,Office Supplies,Low,Demand Volatility,Combined Stress,Moderate,P2 - High,0.6113,Inventory buffer planning,Inventory Planning,7-30 days,Execute optimization recommendation: Immediate intervention.,Monitor scenario exposure,452,90.0,4369.54,Medium,"Optimization analysis recommends immediate intervention. Modeled cost impact is ₹37,781.88, with lost-sales change of 4,502 units."
P00105,Accessories,Low,Supplier,Combined Stress,High,P2 - High,0.6006,Supplier risk mitigation,Procurement,7-30 days,Prepare alternate supplier coverage and increase inventory buffer by approximately 361 units.,Prepare alternate supplier,361,616.0,4106.18,High,P2 - High scenario exposure under Combined Stress. Primary driver: Supplier. Potential lost-sales exposure is 616 units. Recommended contingency buffer is 361 units.
